Name,Country,Owner,Use,Purpose,OrbitClass,Perigee,Apogee,Period,Mass,LaunchDate,COSPAR,NORAD,Comments
Astra 2E,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35781,35793,1436.12,6052,9/29/13,2013-056A,39285,"Broadcast, Vsat and broadband services to Europe."
Astra 2F,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35777,35795,1436.07,6000,9/28/12,2012-051A,38778,"Prime position for SES - BBC, ITV, Channel 5."
Astra 2G,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35785,35789,1436.11,6000,12/27/14,2014-089A,40364,62 Ku-band transponders as well as 4 Ka-band transponders
Astra 3A,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35770,35804,1436.07,1500,3/29/02,2002-015B,27400,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland."
Astra 3B,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35768,35806,1436.11,5471,5/21/10,2010-021A,36581,"60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market."
Astra 5B,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35787,35793,1436.26,5724,3/22/14,2014-011B,39617,Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).
Astrosat,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,LEO,632,649,97.54,230,9/28/15,2015-052A,40930,India's first space observatory.
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,GEO,35784,35788,1436.06,3080,2/6/14,2014-006B,39509,"Carries 2 payloads, one each for France and Italy. Operates in the Ka and EHF bands."
Athenoxat-1 ((Athene Noctua Experimental Satellite),Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,LEO,532,550,95.46,6,12/16/15,2015-077C,41168,Technology demonstrator nanosatellite for Earth remote sensing.
Atlantis (QB50 - US02),USA,University of Michigan,Civil,Earth Science,LEO,396,409,92.6,2,5/26/17,1998-067MS,42737,Earth science in the thermosphere.
Aurora  (Tabletsat-2U-EO),Russia,Sputnix Ltd.,Commercial,Technology Development,LEO,583,618,96.7,25,6/19/14,2014-033H,40017,Technology demonstration and testing of new satellite bus to be used for first commercial Russian remote sensing.
Azerspace/Africasat-1a (Azersat-1),Azerbaijan,Ministry of Communications and Information Technologies,Government,Communications,GEO,35778,35794,1436.08,3250,2/7/13,2013-006B,39079,First satellite for Azerbaijan. Operating from an orbital slot assigned to Malaysia.
Badr 4 (Arabsat 4B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,35780,35791,1436.06,3304,11/8/06,2006-051A,29526,28 Ku-band transponders; voice and video communications to West Asia region.
Badr 5 (Arabsat 5B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,35834,35883,1439.76,5420,6/3/10,2010-025A,36592,"Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders."
Badr 5A (Arabsat 5A),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,35605,35623,1427.27,4940,6/26/10,2010-032B,36745,"26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East."
Badr 6 (Arabsat 4AR),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,35768,35805,1436.1,3400,7/7/08,2008-034B,33154,"24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa."
Badr 7 (Arabsat 6B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,35768,35817,1436,5500,11/10/15,2015-065B,41029,
BARS-M (Cosmos 2503),Russia,Ministry of Defense,Military,Earth Observation,LEO,570,586,96.1,4000,2/27/15,2015-009A,40420,Electronic intelligence gathering (ELINT).
BARS-M (Cosmos 2515),Russia,Ministry of Defense,Military,Earth Observation,LEO,549,594,96.1,4000,3/24/16,2016-020A,41394,
BeEagleSat (QB 50 - TR01),Turkey,Istanbul Technical University/Turkish Air Force Academy,Civil,Earth Science,LEO,395,411,92.6,2,5/26/17,1998-067MR,42736,Earth science in the thermosphere.
BeeSat-1 (Berlin Experimental and Educational Satellite 1),Germany,Institut für Luft- und Raumfahrt,Civil,Technology Development,LEO,709,718,99,1,9/23/09,2009-051C,35933,Verify the behavior of new micro reaction wheels for picosatellites.
BeeSat-2 (Berlin Experimental and Educational Satellite 2),Germany,Institut für Luft- und Raumfahrt,Civil,Technology Development,LEO,555,579,96.01,1,4/19/13,2013-015G,39136,Carrying a technology experiment using gyros and sensors for precise orientation.
